Word,Count
turned,51
volunteer,51
child,51
spent,51
Hey,51
self-isolation,51
middle,51
cancelling,51
meet,51
"work,",51
announcement,51
worked,51
Tesco,51
cut,51
"pandemic,",51
crazy,50
advise,50
daughter,50
water,50
happened,50
round,50
kills,50
special,50
thoughts,50
eected,50
car,50
trust,50
eect,50
(and,50
excellent,81
communities,50
year.,50
price,50
paying,50
sanitiser,50
absolute,50
final,50
fantastic,50
in.,49
n,49
transmission,49
walking,49
fan,49
challenge,49
main,49
focus,49
precautions,49
carry,49
soap,49
simply,49
"this,",49
gives,49
idiots,49
/2,49
colleagues,48
mortality,48
delay,48
hotel,48
opportunity,48
During,48
Iran,48
cash,48
worker,48
facing,48
European,48
well.,48
drink,48
prepare,48
travelling,48
Been,48
dog,48
conditions,48
helpful,48
throughout,48
U.K.,48
meant,48
writing,48
quickly,48
(COVID-19),48
fresh,48
creative,48
vital,48
suspected,47
centre,80
gave,47
!!!,47
type,47
this?,47
GP,47
force,47
super,47
responsible,47
watched,47
people’s,47
stores,47
petition,47
problems,47
non,47
hell,47
stand,47
again.,47
clearly,47
stress,47
example,47
quarantined,46
treating,46
rates,46
joke,46
practice,46
blame,46
towards,46
resources,46
according,46
demand,46
negative,46
whose,46
drop,46
there.,46
suffering,46
speak,46
cancelled.,46
peak,46
challenging,46
off.,46
term,46
however,46
favourite,46
folk,46
app,46
Glasgow,46
Include,85
rent,46
hundreds,45
novel,45
continues,45
insurance,45
Coronavirus!,45
soon.,45
Over,45
pressure,45
highest,45
guess,45
postpone,45
updated,45
HSE,45
unable,45
rules,45
nobody,45
claim,45
closure,45
fun,45
"safe,",45
sessions,45
Protection,89
streets,44
difference,44
BREAKING:,44
dad,44
shared,44
Apparently,88
Korea,44
critical,44
industries,44
international,44
battle,44
levels,44
hoping,44
hygiene,44
University,44
leading,44
enjoy,44
Had,44
address,44
general,44
"virus,",44
exactly,44
glad,44
released,44
felt,44
shown,44
officially,44
finding,44
"crisis,",44
choice,44
town,44
opening,44
homeless,44
citizens,43
John,43
women,43
life.,43
figures,43
borders,43
indoors,43
alcohol,43
forced,43
limit,43
Northern,43
v,43
hate,43
fever,43
obviously,43
deserve,43
hands.,43
MP,43
power,43
respiratory,43
country.,43
"day,",43
cope,43
film,43
Ireland.,43
can.,43
herd,43
bed,42
Bill,42
tube,42
episode,42
immediate,42
space,42
nearly,42
isolated,42
clients,42
French,42
Germany,42
sold,42
received,42
account,42
cleaning,42
credit,42
passed,42
law,42
brilliant,42
vs,42
mild,42
wanna,42
West,42
sound,42
war,42
tonight.,42
benefit,42
apply,42
cant,42
supplies,42
science,42
tax,42
strain,41
contracting,41
is.,41
animals,41
changing,41
appreciate,41
inside,41
deaths.,41
residents,41
sport,41
climate,41
stories,41
spare,41
acting,41
leadership,41
spend,41
late,41
people!,41
avoiding,41
stockpiling,41
supermarket,41
tried,41
truly,41
store,41
society,41
scientific,41
median,41
border,40
closes,40
Was,40
cruise,40
English,40
"out,",40
quick,40
severe,40
"So,",40
HIV,40
East,40
“I,40
temperature,40
fit,40
transport,40
"week,",40
Donald,40
His,40
providing,40
whatever,40
rd,40
warning,40
informed,40
tweets,40
pray,40
locked,39
tells,39
conspiracy,39
priority,39
fair,78
sitting,39
American,39
usually,39
awful,39
becomes,39
certainly,39
among,39
passengers,39
funny,39
infections,39
banned,39
surprised,39
blood,39
hasn’t,39
covering,39
India,39
view,39
worldwide,39
losing,39
Republic,39
brings,39
ppl,39
anyway,39
totally,39
cancer,39
package,39
note,39
uncertain,39
"us,",38
lol,38
except,38
ur,38
similar,38
held,38
America,38
thing.,38
appears,38
nd,38
responsibility,38
isolation.,38
voted,38
affecting,38
welcome,38
symptoms.,38
certain,38
body,38
training,38
mention,38
"that,",38
over.,38
interest,38
doubt,38
helps,38
perfect,38
advice.,38
/3,38
"is,",38
everyone.,38
student,37
beyond,37
Italy.,37
weekend.,37
governments,37
majority,37
the…,37
diseases,37
weather,37
one.,37
release,37
"times,",37
four,37
gig,37
"up,",37
"UK,",37
who’s,37
sat,37
they’ve,37
not.,37
suggest,37
wellbeing,37
months.,37
weird,37
apart,37
baby,37
drinking,37
strange,36
anxious,36
"""The",36
ain’t,36
beer,36
hours.,36
authorities,36
"However,",36
shutting,36
cases.,36
immediately,36
drug,36
orders,36
today’s,36
concern,36
scale,36
son,36
closures,36
basically,36
everywhere,36
Labour,36
hot,36
men,36
foreseeable,36
recovery,36
While,36
deep,36
stopping,36
ticket,36
possible.,36
kits,36
Tuesday,36
proper,36
shall,36
played,36
fees,36
club,36
"Manchester,",36
gloves,35
Having,35
fly,35
curve,35
campaign,35
considering,35
parts,35
respond,35
uncertainty,35
cost,35
Here's,35
charge,35
powers,35
interested,35
nurse,35
fucked,35
often,35
twice,35
write,35
Tories,35
series,35
radio,35
Am,35
risk.,35
sadly,35
everybody,35
version,35
bored,35
security,35
lockdown.,35
exercise,35
ventilators,35
strikes,35
kindness,35
viruses,34
declares,34
added,34
UK:,34
terrible,34
building,34
talks,34
boy,34
mother,34
growth,34
discuss,34
weekly,34
results,34
sell,34
k,34
gel,34
moved,34
neighbours,34
behaviour,34
ignore,34
potentially,34
minute,34
"all,",34
North,34
teams,34
sanitizer,34
Royal,34
years.,34
reasons,34
"down,",34
managed,34
??,34
🤣🤣🤣,34
sector,34
changed,34
willing,34
five,33
declared,33
scare,33
"China,",33
missing,33
infectious,33
race,33
madness,33
increased,33
bars,33
Italy's,33
text,33
markets,33
continued,33
facts,33
lucky,33
luck,33
history,33
sit,33
WhatsApp,33
Meanwhile,33
"not,",33
leaders,33
"weeks,",33
night.,33
billion,33
zero,33
extremely,33
effort,33
relief,33
chief,64
Italians,33
symptom,33
pls,33
Thursday,33
content,33
to.,33
extended,33
Leeds,33
COVID-19:,33
support.,33
SARS,32
earth,32
build,32
claims,32
developed,32
attack,32
deliver,32
ship,32
fall,32
recently,32
flying,32
tour,32
illness,32
"on,",32
board,32
Mr,32
you!,32
this!,32
led,32
straight,32
"coronavirus""",32
sounds,32
we've,32
possibly,32
wipe,32
Cheltenham,32
business.,32
London.,32
hitting,32
chances,32
Tom,32
areas,32
contracted,32
manager,32
"hands,",32
touching,32
greater,32
"Yes,",32
owner,32
him.,32
spread.,32
nature,32
pick,32
shake,32
emails,32
grip,32
music,32
remote,32
Up,32
checking,32
spot,32
COVID-19?,32
plenty,32
phase,32
appropriate,32
"again,",32
uni,32
limited,32
"lockdown,",32
yr,32
assistance,32
wages,32
Exchequer:,32
Equity,32
treated,31
shortage,31
confirms,31
outbreak?,31
folks,31
Africa,31
bc,31
York,31
China.,31
sporting,31
present,31
bigger,31
xx,31
guide,31
meaning,31
becoming,31
leader,31
other.,31
others.,31
standing,31
drive,31
equipment,31
points,31
regular,31
"news,",31
be.,31
tackling,31
rugby,31
wonderful,31
impacted,31
viral,31
letting,31
DM,31
funding,31
sales,31
terms,31
they’ll,31
homes,31
hysteria,31
okay,31
Me:,31
Spanish,31
saving,31
shaking,31
girl,31
Coronavirus...,61
podcast,31
"days,",31
afraid,31
Council,31
Those,31
kitchen,31
teaching,31
signed,31
payment,31
letter,31
stage,31
rises,30
Brits,30
loads,30
videos,30
spending,30
airport,30
causes,30
handle,30
strict,30
restaurant,30
solution,30
confirm,30
delayed,30
moment.,30
obvious,30
allowing,30
🤞,30
interview,30
reaction,30
dark,30
rid,30
otherwise,30
Which,30
attend,30
more.,30
“The,30
(,30
spoke,30
"staff,",30
pack,30
understanding,30
recovered,30
visiting,30
seriously.,30
attempt,30
receive,30
🤯,30
are.,30
missed,30
